Time,Channel A,Channel B
(ms),(V),(V)

11.55071993,-0.40870386,-0.40690330
11.59167993,-0.44511247,-0.44318980
11.63263993,-0.43601793,-0.44318980
11.67359993,-0.44511247,-0.45225379
11.71455993,-0.44511247,-0.45225379
11.75551993,-0.47239602,-0.47041231
11.79647993,-0.48149052,-0.47947630
11.83743993,-0.47239602,-0.47041231
11.87839993,-0.45420697,-0.45225379
11.91935993,-0.46330148,-0.46134830
11.96031993,-0.52699363,-0.52485734
12.00127993,-0.51789910,-0.51579332
12.04223993,-0.52699363,-0.52485734
12.08319993,-0.56340218,-0.56114382
12.12415993,-0.62709433,-0.63374734
12.16511993,-0.64531386,-0.65187538
12.20607993,-0.66350293,-0.67003387
12.24703993,-0.70900601,-0.71541488
12.28799993,-0.69991148,-0.70632041
12.32895993,-0.69081700,-0.69725639
12.36991992,-0.68172246,-0.68819237
12.41087992,-0.69081700,-0.69725639
12.45183992,-0.68172246,-0.69725639
12.49279992,-0.69991148,-0.71541488
12.53375992,-0.74541461,-0.75170141
12.57471992,-0.80910671,-0.81521040
12.61567992,-0.80910671,-0.82427442
12.65663992,-0.77269816,-0.78798789
12.69759992,-0.75450909,-0.76982939
12.73855992,-0.80001223,-0.80614644
12.77951992,-0.76360363,-0.76982939
12.82047992,-0.74541461,-0.75170141
12.86143992,-0.77269816,-0.78798789
12.90239992,-0.77269816,-0.77892393
12.94335992,-0.79091769,-0.79705191
12.98431992,-0.73632008,-0.75170141
13.02527992,-0.65440840,-0.66096985
13.06623992,-0.73632008,-0.74260688
13.10719992,-0.76360363,-0.76076543
13.14815992,-0.70900601,-0.70632041
13.18911992,-0.69081700,-0.69725639
13.23007992,-0.61799979,-0.62465286
13.27103992,-0.74541461,-0.75170141
13.31199992,-0.66350293,-0.67003387
13.35295992,-0.58162177,-0.58836633
13.39391992,-0.61799979,-0.62465286
13.43487992,-0.73632008,-0.73354292
13.47583992,-0.69991148,-0.70632041
13.51679992,-0.76360363,-0.76982939
13.55775992,-0.70900601,-0.71541488
13.59871992,-0.67259741,-0.67003387
13.63967992,-0.67259741,-0.67909789
13.68063992,-0.59981078,-0.59743035
13.72159992,-0.69081700,-0.68819237
13.76255992,-0.76360363,-0.76982939
13.80351992,-0.74541461,-0.75170141
13.84447992,-0.76360363,-0.76982939
13.88543992,-0.81820124,-0.82427442
13.92639992,-0.84551531,-0.84243292
13.96735992,-0.74541461,-0.75170141
14.00831991,-0.85460985,-0.86059147
14.04927991,-0.89101839,-0.89687794
14.09023991,-0.89101839,-0.88778347
14.13119991,-0.89101839,-0.89687794
14.17215991,-0.94561601,-0.95132297
14.21311991,-0.98202461,-0.98760951
14.25407991,-0.98202461,-0.96945095
14.29503991,-0.84551531,-0.85149693
14.33599991,-0.94561601,-0.95132297
14.37695991,-∞,-∞
14.41791991,-0.90920746,-0.90594196
14.45887991,-0.88192391,-0.88778347
14.49983991,-0.95471054,-0.95132297
14.54079991,-0.96380502,-0.96945095
14.58175991,-0.90920746,-0.91500592
14.62271991,-0.93652147,-0.94222844
14.66367991,-0.86370432,-0.86965543
14.70463991,-0.88192391,-0.89687794
14.74559991,-0.87282938,-0.87871945
14.78655991,-0.81820124,-0.82427442
14.82751991,-0.80001223,-0.81521040
14.86847991,-0.80910671,-0.81521040
14.90943991,-0.79091769,-0.80614644
14.95039991,-0.76360363,-0.76982939
14.99135991,-0.84551531,-0.85149693
15.03231991,-0.88192391,-0.88778347
15.07327991,-0.83642077,-0.84243292
15.11423991,-0.86370432,-0.86965543
15.15519991,-0.90920746,-0.91500592
15.19615991,-0.86370432,-0.86059147
15.23711991,-0.75450909,-0.76982939
15.27807991,-0.77269816,-0.77892393
15.31903991,-0.84551531,-0.86059147
